May  3 00:35:14 shoichi newsyslog[8284]: logfile turned over
Fri May  3 05:24:41.715 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 05:24:41.715 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:40c9:6dcb:1245:9930
Fri May  3 05:24:41.715 <kernel> wl0: MDNS: 2 SRV Recs, 3 TXT Recs
Fri May  3 05:24:41.715 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 05:25:00.052 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 05:25:00.052 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 05:25:00.052 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 2831145292, Ack: 123200894, Win size: 2048
Fri May  3 05:25:00.053 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2831145345, Ack 123200963, Win size 287
Fri May  3 05:25:00.053 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 05:25:00.053 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 05:25:00.053 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 05:25:00.509 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 05:25:45.786 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 05:25:45.786 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.7
Fri May  3 05:25:45.786 <kernel> wl0: setup_keepalive: Remote IP: 17.252.236.163
Fri May  3 05:25:45.786 <kernel> wl0: setup_keepalive: Local port: 54830, Remote port: 5223
Fri May  3 05:25:45.786 <kernel> wl0: setup_keepalive: Seq: 2831145520, Ack: 123201016, Win size: 2048
Fri May  3 05:25:45.787 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.7
Fri May  3 05:25:45.787 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 05:25:45.787 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 05:25:45.787 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:40c9:6dcb:1245:9930
Fri May  3 05:25:45.787 <kernel> wl0: MDNS: 2 SRV Recs, 3 TXT Recs
Fri May  3 05:25:45.787 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 05:31:24.048 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 05:31:24.048 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 05:31:24.048 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 2831145520, Ack: 123201016, Win size: 2048
Fri May  3 05:31:24.048 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2831145520, Ack 123201016, Win size 287
Fri May  3 05:31:24.048 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 05:31:24.048 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 05:31:24.048 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 05:31:24.513 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 05:32:09.996 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 05:32:09.996 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.7
Fri May  3 05:32:09.996 <kernel> wl0: setup_keepalive: Remote IP: 17.252.236.163
Fri May  3 05:32:09.996 <kernel> wl0: setup_keepalive: Local port: 54830, Remote port: 5223
Fri May  3 05:32:09.996 <kernel> wl0: setup_keepalive: Seq: 2831145695, Ack: 123201069, Win size: 2048
Fri May  3 05:32:09.996 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.7
Fri May  3 05:32:09.996 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 05:32:09.996 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 05:32:09.996 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:40c9:6dcb:1245:9930
Fri May  3 05:32:09.996 <kernel> wl0: MDNS: 2 SRV Recs, 3 TXT Recs
Fri May  3 05:32:09.996 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 05:34:22.050 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 05:34:22.051 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 05:34:22.051 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 2831145695, Ack: 123201069, Win size: 2048
Fri May  3 05:34:22.051 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2831145695, Ack 123201069, Win size 287
Fri May  3 05:34:22.051 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 05:34:22.051 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 05:34:22.051 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 05:34:22.512 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 05:35:07.557 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 05:35:07.558 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.7
Fri May  3 05:35:07.558 <kernel> wl0: setup_keepalive: Remote IP: 17.252.236.163
Fri May  3 05:35:07.558 <kernel> wl0: setup_keepalive: Local port: 54830, Remote port: 5223
Fri May  3 05:35:07.558 <kernel> wl0: setup_keepalive: Seq: 2831145870, Ack: 123201122, Win size: 2048
Fri May  3 05:35:07.558 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.7
Fri May  3 05:35:07.558 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 05:35:07.558 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 05:35:07.558 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:40c9:6dcb:1245:9930
Fri May  3 05:35:07.558 <kernel> wl0: MDNS: 2 SRV Recs, 3 TXT Recs
Fri May  3 05:35:07.558 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 05:35:34.310 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 05:35:34.310 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 05:35:34.310 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 2831145870, Ack: 123201122, Win size: 2048
Fri May  3 05:35:34.310 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2831145870, Ack 123201122, Win size 287
Fri May  3 05:35:34.310 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 05:35:34.310 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 05:35:34.310 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 05:35:34.779 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 05:35:35.018 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 05:36:19.833 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 05:36:19.833 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.7
Fri May  3 05:36:19.834 <kernel> wl0: setup_keepalive: Remote IP: 17.252.236.163
Fri May  3 05:36:19.834 <kernel> wl0: setup_keepalive: Local port: 54830, Remote port: 5223
Fri May  3 05:36:19.834 <kernel> wl0: setup_keepalive: Seq: 2831146045, Ack: 123201175, Win size: 2048
Fri May  3 05:36:19.834 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.7
Fri May  3 05:36:19.834 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 05:36:19.834 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 05:36:19.834 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:40c9:6dcb:1245:9930
Fri May  3 05:36:19.834 <kernel> wl0: MDNS: 2 SRV Recs, 3 TXT Recs
Fri May  3 05:36:19.834 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 05:50:46.068 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 05:50:46.068 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 05:50:46.068 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 2831146045, Ack: 123201175, Win size: 2048
Fri May  3 05:50:46.068 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2831146045, Ack 123201175, Win size 287
Fri May  3 05:50:46.068 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 05:50:46.068 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 05:50:46.068 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 05:50:47.859 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 05:51:25.681 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 05:51:25.681 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.7
Fri May  3 05:51:25.681 <kernel> wl0: setup_keepalive: Remote IP: 17.252.236.163
Fri May  3 05:51:25.682 <kernel> wl0: setup_keepalive: Local port: 54830, Remote port: 5223
Fri May  3 05:51:25.682 <kernel> wl0: setup_keepalive: Seq: 2831146220, Ack: 123201228, Win size: 2048
Fri May  3 05:51:25.682 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.7
Fri May  3 05:51:25.682 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 05:51:25.682 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 05:51:25.682 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:40c9:6dcb:1245:9930
Fri May  3 05:51:25.682 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Fri May  3 05:51:25.682 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 06:31:10.062 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 06:31:10.062 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 06:31:10.062 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 2831146220, Ack: 123201228, Win size: 2048
Fri May  3 06:31:10.062 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2831146220, Ack 123201228, Win size 287
Fri May  3 06:31:10.062 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 06:31:10.062 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 06:31:10.062 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 06:31:11.735 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 06:31:14.909 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 06:31:14.909 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.7
Fri May  3 06:31:14.909 <kernel> wl0: setup_keepalive: Remote IP: 17.252.236.163
Fri May  3 06:31:14.909 <kernel> wl0: setup_keepalive: Local port: 54830, Remote port: 5223
Fri May  3 06:31:14.909 <kernel> wl0: setup_keepalive: Seq: 2831146395, Ack: 123201281, Win size: 2048
Fri May  3 06:31:14.909 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.7
Fri May  3 06:31:14.910 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 06:31:14.910 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 06:31:14.910 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:40c9:6dcb:1245:9930
Fri May  3 06:31:14.910 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Fri May  3 06:31:14.910 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 06:35:09.066 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 06:35:09.066 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 06:35:09.066 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 2831146395, Ack: 123201281, Win size: 2048
Fri May  3 06:35:09.066 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2831146395, Ack 123201281, Win size 287
Fri May  3 06:35:09.066 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 06:35:09.066 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 06:35:09.066 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 06:35:10.722 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 06:35:13.911 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 06:35:13.912 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.7
Fri May  3 06:35:13.912 <kernel> wl0: setup_keepalive: Remote IP: 17.252.236.163
Fri May  3 06:35:13.912 <kernel> wl0: setup_keepalive: Local port: 54830, Remote port: 5223
Fri May  3 06:35:13.912 <kernel> wl0: setup_keepalive: Seq: 2831146570, Ack: 123201334, Win size: 2048
Fri May  3 06:35:13.912 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.7
Fri May  3 06:35:13.912 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 06:35:13.912 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 06:35:13.912 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:40c9:6dcb:1245:9930
Fri May  3 06:35:13.912 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Fri May  3 06:35:13.912 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 06:36:18.078 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 06:36:18.078 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 06:36:18.078 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 2831146570, Ack: 123201334, Win size: 2048
Fri May  3 06:36:18.078 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2831146570, Ack 123201334, Win size 287
Fri May  3 06:36:18.078 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 06:36:18.078 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 06:36:18.078 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 06:36:19.729 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 06:36:22.915 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 06:36:22.915 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.7
Fri May  3 06:36:22.915 <kernel> wl0: setup_keepalive: Remote IP: 17.252.236.163
Fri May  3 06:36:22.915 <kernel> wl0: setup_keepalive: Local port: 54830, Remote port: 5223
Fri May  3 06:36:22.915 <kernel> wl0: setup_keepalive: Seq: 2831146745, Ack: 123201387, Win size: 2048
Fri May  3 06:36:22.915 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.7
Fri May  3 06:36:22.915 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 06:36:22.915 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 06:36:22.915 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:40c9:6dcb:1245:9930
Fri May  3 06:36:22.915 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Fri May  3 06:36:22.915 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 07:51:33.094 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 07:51:33.094 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 07:51:33.094 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 2831146745, Ack: 123201387, Win size: 2048
Fri May  3 07:51:33.094 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2831146745, Ack 123201387, Win size 287
Fri May  3 07:51:33.094 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 07:51:33.094 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 07:51:33.094 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 07:51:34.859 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 07:51:35.164 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 07:51:35.168 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 07:51:38.053 <kernel> wl0: TCPKEEP: locate_keepalive_data_new_uc: No IPV4 addrs, keepalive not started.
Fri May  3 07:51:38.053 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 07:51:38.053 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 07:51:38.053 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:40c9:6dcb:1245:9930
Fri May  3 07:51:38.053 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Fri May  3 07:51:38.053 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 07:51:42.993 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 07:51:42.993 <airportd[147]> _processIPv4Changes: ARP/NDP offloads disabled, not programming the offload
Fri May  3 08:45:45.415 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 08:45:45.662 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 08:45:45.662 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 08:45:45.662 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 08:45:45.663 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 08:45:45.663 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 08:46:12.836 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 08:46:12.836 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.5
Fri May  3 08:46:12.836 <kernel> wl0: setup_keepalive: Remote IP: 17.252.140.98
Fri May  3 08:46:12.836 <kernel> wl0: setup_keepalive: Local port: 59590, Remote port: 5223
Fri May  3 08:46:12.837 <kernel> wl0: setup_keepalive: Seq: 2136289133, Ack: 3870456084, Win size: 2048
Fri May  3 08:46:12.837 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.5
Fri May  3 08:46:12.837 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 08:46:12.837 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 08:46:12.837 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:40c9:6dcb:1245:9930
Fri May  3 08:46:12.837 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Fri May  3 08:46:12.837 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 08:51:12.934 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 08:51:12.936 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 08:51:12.936 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 2136289133, Ack: 3870456084, Win size: 2048
Fri May  3 08:51:12.937 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2136289133, Ack 3870456084, Win size 250
Fri May  3 08:51:12.937 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 08:51:12.937 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 08:51:12.937 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 08:51:12.937 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 08:51:17.849 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 08:51:17.849 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.5
Fri May  3 08:51:17.849 <kernel> wl0: setup_keepalive: Remote IP: 17.252.140.98
Fri May  3 08:51:17.849 <kernel> wl0: setup_keepalive: Local port: 59590, Remote port: 5223
Fri May  3 08:51:17.849 <kernel> wl0: setup_keepalive: Seq: 2136289308, Ack: 3870456137, Win size: 2048
Fri May  3 08:51:17.849 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.5
Fri May  3 08:51:17.849 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 08:51:17.849 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 08:51:17.849 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:40c9:6dcb:1245:9930
Fri May  3 08:51:17.849 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Fri May  3 08:51:17.849 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 08:52:43.335 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 08:52:43.885 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 08:52:43.905 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 08:52:43.905 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 2136289308, Ack: 3870456137, Win size: 2048
Fri May  3 08:52:43.905 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2136289308, Ack 3870456137, Win size 250
Fri May  3 08:52:43.905 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 08:52:43.905 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 08:52:43.905 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 08:52:43.905 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 08:52:49.627 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 08:52:49.627 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.5
Fri May  3 08:52:54.564 <kernel> wl0: setup_keepalive: Remote IP: 17.252.140.98
Fri May  3 08:52:54.564 <kernel> wl0: setup_keepalive: Local port: 59590, Remote port: 5223
Fri May  3 08:52:54.564 <kernel> wl0: setup_keepalive: Seq: 2136289483, Ack: 3870456190, Win size: 2047
Fri May  3 08:52:54.564 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.5
Fri May  3 08:52:54.564 <kernel> wl0: MDNS: IPV6 Addr: fe80:0:0:0:79:ecc7:64fa:eba9
Fri May  3 08:52:54.564 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:18c3:5713:ee80:b2c5
Fri May  3 08:52:54.564 <kernel> wl0: MDNS: IPV6 Addr: 240f:50:326:1:40c9:6dcb:1245:9930
Fri May  3 08:52:54.564 <kernel> wl0: MDNS: 0 SRV Recs, 0 TXT Recs
Fri May  3 08:52:54.564 <kernel> wl0: MDNS: 2 TCP ports:  49250  3689 
Fri May  3 10:52:57.491 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 10:52:57.517 <kernel> IO80211VirtualInterface::handleSIOCSIFFLAGS : Source controllerWillChangePowerState calling peerManager->disable
Fri May  3 10:52:57.518 <kernel> IO80211VirtualInterface::controllerWillChangePowerState : Bringing down link
Fri May  3 10:52:57.518 <kernel> wl0: wl_update_tcpkeep_seq: Original Seq: 2136289483, Ack: 3870456190, Win size: 2047
Fri May  3 10:52:57.518 <kernel> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 2136289483, Ack 3870456190, Win size 250
Fri May  3 10:52:57.518 <kernel> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
Fri May  3 10:52:57.518 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[enable], in_fatal_err[0]
Fri May  3 10:52:57.518 <kernel> AirPort_Brcm43xx::syncPowerState: WWEN[enabled]
Fri May  3 10:52:57.518 <kernel> AirPort_Brcm43xx::platformWoWEnable: WWEN[disable], in_fatal_err[0]
Fri May  3 10:53:02.941 <kernel> wl0: setup_keepalive: interval 900, retry_interval 30, retry_count 10
Fri May  3 10:53:02.941 <kernel> wl0: setup_keepalive: Local IP: 192.168.0.4
Fri May  3 10:53:02.941 <kernel> wl0: setup_keepalive: Remote IP: 17.242.28.79
Fri May  3 10:53:02.941 <kernel> wl0: setup_keepalive: Local port: 59830, Remote port: 5223
Fri May  3 10:53:02.941 <kernel> wl0: setup_keepalive: Seq: 3159531244, Ack: 3502929464, Win size: 2047
Fri May  3 10:53:02.941 <kernel> wl0: MDNS: IPV4 Addr: 192.168.0.4
